gene,R1L1Kidney,R1L2Liver,R1L3Kidney,R1L4Liver,R1L6Liver,R1L7Kidney,R1L8Liver,R2L2Kidney,R2L3Liver,R2L6Kidney
ENSG00000163631,1462,76740,1550,77611,75841,1439,73522,1555,78879,1608
ENSG00000171564,291,22515,336,22741,22236,323,21444,372,23790,344
ENSG00000171560,295,17941,294,18125,17644,257,17247,316,19074,300
ENSG00000171557,194,10997,195,11004,10722,158,10462,213,11296,190
ENSG00000084674,106,9413,134,9352,9101,98,8948,105,9595,124
ENSG00000143153,8344,390,8623,376,357,8451,322,8730,389,8835
ENSG00000163399,7334,284,7494,272,272,6959,250,7702,243,7744
ENSG00000091513,89,6808,106,6906,6556,93,6446,113,7223,98
ENSG00000158874,53,5011,47,4978,4776,42,4502,69,5406,51
ENSG00000118785,4682,58,4838,64,64,4659,56,5039,62,5212
ENSG00000132693,41,4087,30,4204,3908,39,3872,51,4524,45
ENSG00000055955,52,4198,65,4056,3872,51,3690,64,4446,53
ENSG00000115461,4277,658,4523,694,661,4132,645,4672,727,4657
ENSG00000021826,60,3682,64,3680,3612,57,3603,56,3689,73
ENSG00000196616,130,3570,130,3558,3572,124,3382,128,3730,132
ENSG00000151726,1279,4712,1313,4798,4600,1317,4516,1374,4754,1388
ENSG00000116133,632,3534,681,3396,3178,622,3196,733,3657,702
ENSG00000047457,38,2807,39,2739,2676,30,2641,36,2914,24
ENSG00000138356,438,3165,513,3201,3060,424,3074,482,3301,507
ENSG00000135744,234,3003,246,3054,2839,236,2721,242,2914,245
ENSG00000132703,52,2659,46,2536,2634,34,2494,42,2736,40
ENSG00000198099,28,2506,24,2457,2393,31,2399,25,2583,37
ENSG00000145321,33,2348,41,2422,2276,39,2240,39,2457,34
ENSG00000143819,210,2488,192,2493,2356,204,2275,256,2634,247
ENSG00000163453,2517,460,2647,440,455,2416,365,2785,494,2929
ENSG00000117601,36,2266,34,2281,2138,38,2090,40,2350,44
ENSG00000145192,33,2250,32,2199,2206,32,2046,19,2302,27
